"fullname";"name";"vorname";"lastname";"firstname";"kanton_nummer";"liste_nummer_kanton";"district";"list"
"Hasler Katrin";"Hasler";"Katrin";NA;NA;2;"29";NA;NA
"Hauri Theodor (Theo)";"Hauri";"Theodor (Theo)";NA;NA;1;"28";NA;NA
"Hauser Armando";"Hauser";"Armando";NA;NA;10;"23";NA;NA
"Heijman Alice";"Heijman";"Alice";NA;NA;3;"17";NA;NA
"Hell Titus";"Hell";"Titus";NA;NA;12;"6";NA;NA
"Hernández Rodriguez Yosvany";"Hernández Rodriguez";"Yosvany";NA;NA;3;"11";NA;NA
"Herrmann Stefan";"Herrmann";"Stefan";NA;NA;2;"18";NA;NA
"Hipp Raimund";"Hipp";"Raimund";NA;NA;20;"23";NA;NA
"Hodel Kristin";"Hodel";"Kristin";NA;NA;2;"28";NA;NA
"Hofer-Kühne Rita";"Hofer-Kühne";"Rita";NA;NA;9;"3";NA;NA
"Hunkeler Yvonne";"Hunkeler";"Yvonne";NA;NA;3;"24";NA;NA
"Hurter Thomas";"Hurter";"Thomas";NA;NA;14;"1";NA;NA
"Hutter Simone";"Hutter";"Simone";NA;NA;9;"20";NA;NA
"Ilg-Lutz Christiane";"Ilg-Lutz";"Christiane";NA;NA;1;"21";NA;NA
"Imhof Ursula";"Imhof";"Ursula";NA;NA;23;"7";NA;NA
"Joller Thorin (Salsiccia secca)";"Joller";"Thorin (Salsiccia secca)";NA;NA;1;"17";NA;NA
"Joss Malaika (Mallemallorca)";"Joss";"Malaika (Mallemallorca)";NA;NA;1;"17";NA;NA
"Jung Gerda";"Jung";"Gerda";NA;NA;3;"25";NA;NA
"Jung Pirmin";"Jung";"Pirmin";NA;NA;3;"24";NA;NA
"Jurt Daniel";"Jurt";"Daniel";NA;NA;13;"34";NA;NA
"Kaczmarczyk Ingbert";"Kaczmarczyk";"Ingbert";NA;NA;3;"17";NA;NA
"Kaiser Claudia";"Kaiser";"Claudia";NA;NA;2;"28";NA;NA
"Kaul Peter Simon";"Kaul";"Peter Simon";NA;NA;1;"28";NA;NA
"Kern Barbara";"Kern";"Barbara";NA;NA;20;"23";NA;NA
"Kipfer Dorothée";"Kipfer";"Dorothée";NA;NA;3;"17";NA;NA
"Kiš Lenke (Paella)";"Kiš";"Lenke (Paella)";NA;NA;1;"17";NA;NA
"Koch Benjamin";"Koch";"Benjamin";NA;NA;3;"23";NA;NA
"Koch Simon";"Koch";"Simon";NA;NA;3;"35";NA;NA
