firstname,lastname,gender,year_of_birth,age,zip,city,country,party_short,district,incumbent,LINK_personal_website,LINK_facebook,LINK_Twitter,LINK_Instagram
David,Roth,m,1985,34,6005,Luzern,Schweiz,SP,Luzern,0,https://www.davidroth.ch,https://www.facebook.com/davidsilvanroth,https://twitter.com/daroth,NA
Eric,Nussbaumer,m,1960,59,4410,Liestal,Schweiz,SP,Basel-Landschaft,0,http://www.eric-nussbaumer.ch,https://www.facebook.com/eric.nussbaumer.33,https://twitter.com/enussbi,NA
Marcel,Dobler,m,1980,39,8640,Rapperswil,Schweiz,FDP,St.Gallen,0,https://www.marcel-dobler.ch,https://www.facebook.com/marcel.dobler.politiker,https://twitter.com/Marcel_Dobler,NA
Stefan,Thöni,m,1985,34,6312,Steinhausen,Schweiz,PARAT,Zug,0,https://stefanthoeni.ch,NA,https://twitter.com/paratexception,NA
Marina,Carobbio Guscetti,f,1966,53,6533,Lumino,Schweiz,SP,Tessin,0,http://www.marinacarobbio.ch,http://www.facebook.com/mcarobbio/,http://www.twitter.com/MarinaCarobbio,https://www.instagram.com/ffivaz/
Fabien,Fivaz,m,1978,41,2300,La Chaux-de-Fonds,Schweiz,Grüne,Neuenburg,0,NA,https://www.facebook.com/fabien.fivaz.9,https://twitter.com/ffivaz,https://www.instagram.com/ffivaz/
François,Bärtschi,m,1969,50,1205,Genève,Schweiz,MCG,Genf,0,NA,https://www.facebook.com/francois.baertschi,https://twitter.com/bar246,NA
Géraldine,Danuser,f,1995,24,7000,Chur,Schweiz,jglp,Graubünden,0,https://www.geraldine-danuser.ch/,https://www.facebook.com/G%C3%A9raldine-Danuser-JGLP-166014334098126/,https://twitter.com/g_danuser,https://www.instagram.com/geraldinedanuser/
Tiana,Moser,f,1979,40,8032,Zürich,Schweiz,glp,Zürich,0,http://www.tianamoser.ch,https://www.facebook.com/tiana.moser.glp/,https://twitter.com/tiana_moser,https://www.instagram.com/tiana_moser/
Nina,Schläfli,f,1990,29,8280,Kreuzlingen,Schweiz,SP,Thurgau,0,http://nina-schlaefli.ch,https://web.facebook.com/nina.schlaefli,https://twitter.com/NinaSchlaefli,NA
Céline,Amaudruz,f,1979,40,1208,Genève,Schweiz,SVP,Genf,0,NA,https://www.facebook.com/amaudruz.celine,https://twitter.com/AmaudruzCeline,https://www.instagram.com/camaudruz/
Marianne,Streiff,f,1957,62,3322,Urtenen-Schönbühl,Schweiz,EVP,Bern,0,NA,https://www.facebook.com/Nationalr%C3%A4tin-Marianne-Streiff-233039246707590/,https://twitter.com/MarianneStreiff,https://www.instagram.com/marianne_streiff/
Franziska,Meinherz,f,1991,28,1004,Lausanne,Schweiz,EàG,Waadt,0,NA,https://www.facebook.com/franziska.meinherz.5,https://twitter.com/Franziska_EaG,NA
Roger,Köppel,m,1965,54,8021,Zürich,Schweiz,SVP,Zürich,0,NA,https://www.facebook.com/koeppelnationalrat/,https://twitter.com/KoeppelRoger,https://www.instagram.com/rogerkoppel/
Pietro,Vernazza,m,1956,63,9008,St. Gallen,Schweiz,glp,St.Gallen,0,http://vernazza.ch,https://www.facebook.com/Pietro-Vernazza-474550089964616,https://twitter.com/pietrovernazza,NA
Marco,Chiesa,m,1974,45,6967,Ruvigliana,Schweiz,SVP,Tessin,0,http://www.marcochiesa.ch,https://www.facebook.com/marco.chiesa.5/,https://twitter.com/marcochiesa74,https://www.instagram.com/marcochiesa74/
Jean-Pierre,Leutwyler,m,1973,46,5400,Baden,Schweiz,FW AG,Aargau,0,https://www.jpleutwyler.ch,https://www.facebook.com/jeanpierre.leutwyler,https://twitter.com/jpleutwyler?lang=de,NA
Maya,Bally,f,1961,58,5604,Hendschiken,Schweiz,BDP,Aargau,0,http://www.maya.bally.ch,https://www.facebook.com/Grossraetin/,https://twitter.com/maya_bally?lang=de,NA
Germano,Mattei,m,1952,67,6690,Cavergno,Schweiz,MV,Tessin,0,NA,https://www.facebook.com/germano.mattei.52,https://twitter.com/MatteiGermano,https://www.instagram.com/germano.mattei/
Xenia,Peran,f,1963,56,20000,Milano,Italien,LV,Tessin,0,NA,https://www.facebook.com/xenia.peran,https://twitter.com/xeniaperan,https://www.instagram.com/xeniaperan/
Werner,Hösli,m,1961,58,8773,Haslen,Schweiz,SVP,Glarus,1,NA,https://www.facebook.com/wernerhoesli/,https://twitter.com/Werner_Hoesli,NA
