fullname;name;vorname;lastname;firstname;kanton_nummer;liste_nummer_kanton;district;list
Koller-Wiederkehr Béatrice;NA;NA;Koller-Wiederkehr;Béatrice;NA;NA;Aargau;CVP#1
Lòpez-Peduzzi Ilaria;NA;NA;Lòpez-Peduzzi;Ilaria;NA;NA;Aargau;CVP#1
Knüsel Christine;NA;NA;Knüsel;Christine;NA;NA;Aargau;CVP-AZ
Ammann-Bürgi Urs;NA;NA;Ammann-Bürgi;Urs;NA;NA;Aargau;CVP-BZ
Stutz David;NA;NA;Stutz;David;NA;NA;Aargau;CVP-BZ
Rüttimann-Krucker Niklaus;NA;NA;Rüttimann-Krucker;Niklaus;NA;NA;Aargau;CVP-CS
Bucher-Yurko Ivo;NA;NA;Bucher-Yurko;Ivo;NA;NA;Aargau;CVP-E
Burkhard-Ryser Urs;NA;NA;Burkhard-Ryser;Urs;NA;NA;Aargau;CVP-E
Scheidegger Fred;NA;NA;Scheidegger;Fred;NA;NA;Aargau;CVP-FA
Stenico Franziska;NA;NA;Stenico;Franziska;NA;NA;Aargau;CVP-FA
Wick Jacqueline;NA;NA;Wick;Jacqueline;NA;NA;Aargau;CVP-FA
Henzel Thomas;NA;NA;Henzel;Thomas;NA;NA;Aargau;CVP-FT
Steinacher Martin;NA;NA;Steinacher;Martin;NA;NA;Aargau;CVP-FT
Weiss-Winter Herbert;NA;NA;Weiss-Winter;Herbert;NA;NA;Aargau;CVP-FT
Hagenbuch-Tresch Franz;NA;NA;Hagenbuch-Tresch;Franz;NA;NA;Aargau;CVP-LA
Graf Pieren Adelheid;NA;NA;Graf Pieren;Adelheid;NA;NA;Bern;Die Musketiere
Racine Melanie;NA;NA;Racine;Melanie;NA;NA;Solothurn;Digitalisierung
Zingrich Alexander;NA;NA;Zingrich;Alexander;NA;NA;Solothurn;Digitalisierung
Fachinetti Zsola;NA;NA;Fachinetti;Zsola;NA;NA;Aargau;DU - Die Unabhängigen
Berger Mary;NA;NA;Berger;Mary;NA;NA;Zürich;EDU Eidgenössisch-Demokratische Union
Brizza Conny;NA;NA;Brizza;Conny;NA;NA;Zürich;EDU Eidgenössisch-Demokratische Union
Meier Benjamin;NA;NA;Meier;Benjamin;NA;NA;Zürich;EDU Eidgenössisch-Demokratische Union
Walder Daniela;NA;NA;Walder;Daniela;NA;NA;Zürich;EDU Eidgenössisch-Demokratische Union
Baumann Bernhard Urs;NA;NA;Baumann;Bernhard Urs;NA;NA;Bern;Eidgenössisch-Demokratische Union / Union Démocratique Fédérale
Edjeou (Buntschu) Corinne;NA;NA;Edjeou (Buntschu);Corinne;NA;NA;Genf;Ensemble à Gauche - Parti du Travail
Pérez Maria Lou;NA;NA;Pérez;Maria Lou;NA;NA;Genf;Ensemble à Gauche - Parti du Travail
Schnebli Tobias (Tobia);NA;NA;Schnebli;Tobias (Tobia);NA;NA;Genf;Ensemble à Gauche - Parti du Travail
Prezioso Stefania;NA;NA;Prezioso;Stefania;NA;NA;Genf;Ensemble à Gauche · Solidarités - DAL
Alain Riesen;NA;NA;Alain;Riesen;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Claire Martenot;NA;NA;Claire;Martenot;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Erica Deuber-Ziegler;NA;NA;Erica;Deuber-Ziegler;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Florio Togni;NA;NA;Florio;Togni;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Henriette Stebler;NA;NA;Henriette;Stebler;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Jacques Mino;NA;NA;Jacques;Mino;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Marie-Pierre Maystre;NA;NA;Marie-Pierre;Maystre;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Maryelle Budry;NA;NA;Maryelle;Budry;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Philippe Sauvin;NA;NA;Philippe;Sauvin;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
Sandro Rossetti;NA;NA;Sandro;Rossetti;NA;NA;Genf;Ensemble à Gauche · Solidarités sans frontières
El-Shikh Ines;NA;NA;El-Shikh;Ines;NA;NA;Genf;Ensemble à Gauche: Egalité pour toutes* et tous*
Nyffeler Françoise;NA;NA;Nyffeler;Françoise;NA;NA;Genf;Ensemble à Gauche: Egalité pour toutes* et tous*
Beerli-Stäheli Nina;NA;NA;Beerli-Stäheli;Nina;NA;NA;Thurgau;Evangelische Volkspartei
Ferenkeh Tarawally;NA;NA;Ferenkeh;Tarawally;NA;NA;Solothurn;Evangelische Volkspartei
Günter-Bolliger Doris;NA;NA;Günter-Bolliger;Doris;NA;NA;Thurgau;Evangelische Volkspartei
Hermann Stefan;NA;NA;Hermann;Stefan;NA;NA;Bern;Evangelische Volkspartei
Rickenbach-Signer Elisabeth;NA;NA;Rickenbach-Signer;Elisabeth;NA;NA;Thurgau;Evangelische Volkspartei
Stieger-Hagen Roger;NA;NA;Stieger-Hagen;Roger;NA;NA;Thurgau;Evangelische Volkspartei
Gugger Nik;NA;NA;Gugger;Nik;NA;NA;Zürich;Evangelische Volkspartei (EVP)
Kläusler Heidi;NA;NA;Kläusler;Heidi;NA;NA;Zürich;Evangelische Volkspartei (EVP)
Mathys Andrina;NA;NA;Mathys;Andrina;NA;NA;Schwyz;Evangelische Volkspartei (EVP)
Omoruyi Ernest;NA;NA;Omoruyi;Ernest;NA;NA;Zürich;Evangelische Volkspartei (EVP)
Pflugshaupt Katharina;NA;NA;Pflugshaupt;Katharina;NA;NA;Zürich;Evangelische Volkspartei (EVP)
Hartmann Nicola Emanuel;NA;NA;Hartmann;Nicola Emanuel;NA;NA;Zürich;Evangelische Volkspartei (EVP) - Junge
Müller Benjamin;NA;NA;Müller;Benjamin;NA;NA;Zürich;Evangelische Volkspartei (EVP) - Junge
Zimmermann Aemisegger Sarah Alexandra;NA;NA;Zimmermann Aemisegger;Sarah Alexandra;NA;NA;Zürich;Evangelische Volkspartei (EVP) - Junge
Bärtschi Fredy;NA;NA;Bärtschi;Fredy;NA;NA;Aargau;EVP
Baumgaertner Lucien;NA;NA;Baumgaertner;Lucien;NA;NA;Aargau;EVP
Suter Helen;NA;NA;Suter;Helen;NA;NA;Aargau;EVP
Andrianjaramahavalisoa Carmen;NA;NA;Andrianjaramahavalisoa;Carmen;NA;NA;Schaffhausen;EVP Kantonalpartei Schaffhausen
Fred Grob;NA;NA;Fred;Grob;NA;NA;Aargau;EVP Plus
Gugelmann-Blank Elisabeth;NA;NA;Gugelmann-Blank;Elisabeth;NA;NA;Aargau;EVP Plus
Hübscher-Oester Bertha;NA;NA;Hübscher-Oester;Bertha;NA;NA;Aargau;EVP Plus
Studer Heinrich Otto;NA;NA;Studer;Heinrich Otto;NA;NA;Aargau;EVP Plus
Wahrstätter Margrit;NA;NA;Wahrstätter;Margrit;NA;NA;Aargau;EVP Plus
Wunderlin Vinzenz Martin;NA;NA;Wunderlin;Vinzenz Martin;NA;NA;Aargau;EVP Plus
Wyler Walter Daniel;NA;NA;Wyler;Walter Daniel;NA;NA;Aargau;EVP Plus
Banholzer Lilian;NA;NA;Banholzer;Lilian;NA;NA;Zürich;EVP-Frauenliste
Boller-Schmidt Maria;NA;NA;Boller-Schmidt;Maria;NA;NA;Zürich;EVP-Frauenliste
Cryer Katrin;NA;NA;Cryer;Katrin;NA;NA;Zürich;EVP-Frauenliste
Ehmann Manuela;NA;NA;Ehmann;Manuela;NA;NA;Zürich;EVP-Frauenliste
Furrer Susanne;NA;NA;Furrer;Susanne;NA;NA;Zürich;EVP-Frauenliste
Göldi Merita;NA;NA;Göldi;Merita;NA;NA;Zürich;EVP-Frauenliste
Ilg Christiane;NA;NA;Ilg;Christiane;NA;NA;Zürich;EVP-Frauenliste
Jufer Andrea;NA;NA;Jufer;Andrea;NA;NA;Zürich;EVP-Frauenliste
Kaplony Angelika;NA;NA;Kaplony;Angelika;NA;NA;Zürich;EVP-Frauenliste
Lüssi Susanne;NA;NA;Lüssi;Susanne;NA;NA;Zürich;EVP-Frauenliste
Monhart Gabi;NA;NA;Monhart;Gabi;NA;NA;Zürich;EVP-Frauenliste
Mülller-Jaag Lisette;NA;NA;Mülller-Jaag;Lisette;NA;NA;Zürich;EVP-Frauenliste
Oram Susanne;NA;NA;Oram;Susanne;NA;NA;Zürich;EVP-Frauenliste
Rauber Mary;NA;NA;Rauber;Mary;NA;NA;Zürich;EVP-Frauenliste
Woodhatch Tania;NA;NA;Woodhatch;Tania;NA;NA;Zürich;EVP-Frauenliste
Chenaux bourquin Evelyne;NA;NA;Chenaux bourquin;Evelyne;NA;NA;Genf;Fédéraction
Marquis Samira;NA;NA;Marquis;Samira;NA;NA;Genf;Fédéraction
Restrepo ramos Rocio;NA;NA;Restrepo ramos;Rocio;NA;NA;Genf;Fédéraction
Thami Reski;NA;NA;Thami;Reski;NA;NA;Genf;Fédéraction
Baudinot Gerold;NA;NA;Baudinot;Gerold;NA;NA;Wallis;FDP die Liberalen
Bellwald Michael;NA;NA;Bellwald;Michael;NA;NA;Wallis;FDP die Liberalen
von Aesch Michael;NA;NA;von Aesch;Michael;NA;NA;Wallis;FDP die Liberalen
Kaiser Branka;NA;NA;Kaiser;Branka;NA;NA;Luzern;FDP Frauen
Kunz Cornelia;NA;NA;Kunz;Cornelia;NA;NA;St. Gallen;FDP Frauen
Meier Hildegard;NA;NA;Meier;Hildegard;NA;NA;Luzern;FDP Frauen
Pool Brigitte;NA;NA;Pool;Brigitte;NA;NA;St. Gallen;FDP Frauen
Schmid Rosy;NA;NA;Schmid;Rosy;NA;NA;Luzern;FDP Frauen
Supersaxo Freiburghaus Karin;NA;NA;Supersaxo Freiburghaus;Karin;NA;NA;Luzern;FDP Frauen
Franzen Ann Barbara;NA;NA;Franzen;Ann Barbara;NA;NA;Zürich;FDP Zürich
Müller-Wegner André;NA;NA;Müller-Wegner;André;NA;NA;Zürich;FDP Zürich
Zürcher Martina;NA;NA;Zürcher;Martina;NA;NA;Zürich;FDP Zürich
Benninger Brun Claudia;NA;NA;Benninger Brun;Claudia;NA;NA;Zug;FDP Zug - A
Büchel Caroline;NA;NA;Büchel;Caroline;NA;NA;St. Gallen;FDP.Die Liberalen
Ellenberger-Richli Claudia;NA;NA;Ellenberger-Richli;Claudia;NA;NA;Schaffhausen;FDP.Die Liberalen
Gautschi Nadine;NA;NA;Gautschi;Nadine;NA;NA;Basel-Stadt;FDP.Die Liberalen
Markart-Kaufmann Ingrid;NA;NA;Markart-Kaufmann;Ingrid;NA;NA;St. Gallen;FDP.Die Liberalen
Norbu Shitsetsang Jigme;NA;NA;Norbu Shitsetsang;Jigme;NA;NA;St. Gallen;FDP.Die Liberalen
Nüssli-Kaiser Nicole;NA;NA;Nüssli-Kaiser;Nicole;NA;NA;Basel-Landschaft;FDP.Die Liberalen
Sartorius Karin;NA;NA;Sartorius;Karin;NA;NA;Basel-Stadt;FDP.Die Liberalen
Sorato Carla;NA;NA;Sorato;Carla;NA;NA;Basel-Stadt;FDP.Die Liberalen
Steinegger Matthias;NA;NA;Steinegger;Matthias;NA;NA;Uri;FDP.Die Liberalen
Wasserfallen Christan;NA;NA;Wasserfallen;Christan;NA;NA;Bern;FDP.Die Liberalen
Müller Marlene;NA;NA;Müller;Marlene;NA;NA;Schwyz;FDP.Die Liberalen - Hauptliste
Schurtenberger Helen;NA;NA;Schurtenberger;Helen;NA;NA;Luzern;FDP.Die Liberalen (Hauptliste)
Hasler Cornelia;NA;NA;Hasler;Cornelia;NA;NA;Thurgau;FDP.Die Liberalen / Frauenliste
Mukawel Jehans;NA;NA;Mukawel;Jehans;NA;NA;St. Gallen;FDP.Die Liberalen, Jungfreisinnige
Camenzind Nadja;NA;NA;Camenzind;Nadja;NA;NA;Schwyz;Gemeinsam fürs Schwyzer Gewerbe
Schelbert Andrea;NA;NA;Schelbert;Andrea;NA;NA;Schwyz;Gemeinsam fürs Schwyzer Gewerbe
Wyss Daniel;NA;NA;Wyss;Daniel;NA;NA;Solothurn;Gesellschaftsliberalismus
Caggìa Federica;NA;NA;Caggìa;Federica;NA;NA;Tessin;Gioventù Socialista
Bättig Michèle;NA;NA;Bättig;Michèle;NA;NA;Zürich;glp UnternehmerInnen
Cochard Francois;NA;NA;Cochard;Francois;NA;NA;Zürich;glp UnternehmerInnen
Knecht Severin;NA;NA;Knecht;Severin;NA;NA;Zürich;glp UnternehmerInnen
Rump Flavio;NA;NA;Rump;Flavio;NA;NA;Zürich;glp UnternehmerInnen
Schlauri Simon;NA;NA;Schlauri;Simon;NA;NA;Zürich;glp UnternehmerInnen
Anders Vera;NA;NA;Anders;Vera;NA;NA;Zürich;Grüne
Bucher Nöelle;NA;NA;Bucher;Nöelle;NA;NA;Luzern;Grüne
Glauser Tamy;NA;NA;Glauser;Tamy;NA;NA;Zürich;Grüne
Reiss Gabi;NA;NA;Reiss;Gabi;NA;NA;Zürich;Grüne
Steiner Kathy;NA;NA;Steiner;Kathy;NA;NA;Zürich;Grüne
Von Scarpatetti Beat;NA;NA;Von Scarpatetti;Beat;NA;NA;Basel-Landschaft;Grüne
Brügger Daniel;NA;NA;Brügger;Daniel;NA;NA;Bern;Grüne - Les Verts
Stucki Carine;NA;NA;Stucki;Carine;NA;NA;Bern;Grüne - Les Verts
Wüthrich Andreas;NA;NA;Wüthrich;Andreas;NA;NA;Waadt;Grüne - Les Verts
Beer Schuler Betty;NA;NA;Beer Schuler;Betty;NA;NA;St. Gallen;Grüne KlimaseniorInnen
Faust Richard;NA;NA;Faust;Richard;NA;NA;St. Gallen;Grüne KlimaseniorInnen
Scheuble Magie;NA;NA;Scheuble;Magie;NA;NA;St. Gallen;Grüne KlimaseniorInnen
Jossen Carmen;NA;NA;Jossen;Carmen;NA;NA;Wallis;Grüne Oberwallis
Kappeler Toni;NA;NA;Kappeler;Toni;NA;NA;Thurgau;Grüne Panther Thurgau
Feuerle Didi;NA;NA;Feuerle;Didi;NA;NA;Thurgau;Grüne Partei Thurgau
Sauter-Müller Regula Esther;NA;NA;Sauter-Müller;Regula Esther;NA;NA;Schaffhausen;Grüne Schaffhausen
Bruinink Arend;NA;NA;Bruinink;Arend;NA;NA;Zürich;Grüne, MigrantInnen und Second@s
Calvo Salgado Luis Manuel;NA;NA;Calvo Salgado;Luis Manuel;NA;NA;Zürich;Grüne, MigrantInnen und Second@s
L’Orange Seigo Selma;NA;NA;L’Orange Seigo;Selma;NA;NA;Zürich;Grüne, MigrantInnen und Second@s
Malapati Samuel;NA;NA;Malapati;Samuel;NA;NA;Zürich;Grüne, MigrantInnen und Second@s
Pavone Francisco;NA;NA;Pavone;Francisco;NA;NA;Zürich;Grüne, MigrantInnen und Second@s
Phillips Peter David;NA;NA;Phillips;Peter David;NA;NA;Zürich;Grüne, MigrantInnen und Second@s
Ruff Sabina;NA;NA;Ruff;Sabina;NA;NA;St. Gallen;Grünliberale (glp) - Hauptliste
Schäfer Jorim Elias;NA;NA;Schäfer;Jorim Elias;NA;NA;Thurgau;Grünliberale – Engagiert
Fisch Ueli (Ulrich);NA;NA;Fisch;Ueli (Ulrich);NA;NA;Thurgau;Grünliberale Partei
Huser Claudia;NA;NA;Huser;Claudia;NA;NA;Luzern;Grünliberale Partei
Özvegyi Andràs;NA;NA;Özvegyi;Andràs;NA;NA;Luzern;Grünliberale Partei
Peter Dominik;NA;NA;Peter;Dominik;NA;NA;Aargau;Grünliberale Partei
